timestamp,open,high,low,close,volume
1771698600000,68479.79,68546.33,68472.29,68534,0.19760259
1771699500000,68534,68622.55,68500,68560.04,3.57696353
1771700400000,68560.04,68635.2,68506.81,68590.43,1.25080882
1771701300000,68590.43,68614.49,68527.48,68592.29,0.11522235
1771702200000,68592.29,68616.71,68555.61,68598.94,0.15363385
1771703100000,68598.94,68598.94,68522,68522,1.15961278
1771704000000,68522,68528.22,68464.57,68486.68,1.08416704
1771704900000,68486.68,68584.19,68482,68562,4.36740741
1771705800000,68562,68563.78,68316.17,68346.09,1.90805506
1771706700000,68346.09,68405.9,68201.85,68209.09,1.97308051
1771707600000,68209.09,68312,68188.65,68272.88,2.57538607
1771708500000,68272.88,68364.95,68272.88,68343.38,0.12501345
1771709400000,68343.38,68355.42,68313.02,68317.18,0.12271152
1771710300000,68317.18,68370.48,68272.92,68370.48,0.08590057
1771711200000,68370.48,68501.67,68211.79,68211.79,23.32079795
1771712100000,68211.79,68309.43,68211.79,68286.85,0.08041387
1771713000000,68286.85,68286.85,67996.8,68017,4.4016723
1771713900000,68017,68170.04,67871.7,67982.06,2.73774574
1771714800000,67982.06,68001.22,67931.83,67970.29,1.35052863
1771715700000,67970.29,68073.83,67941.71,68061.11,0.10990301
1771716600000,68061.11,68097.49,68050.92,68066.14,1.03197284
1771717500000,68066.14,68066.14,67956.56,67982.23,0.89594567
1771718400000,67982.23,68017.61,67921.67,68017.6,0.86085103
1771719300000,68017.6,68032.52,67800.65,67856.39,0.29036373
1771720200000,67856.39,67903.5,67830.2,67864.14,0.38034936
1771721100000,67864.14,67915.5,67818.1,67915.5,1.60376068
1771722000000,67915.5,68029.89,67915.5,68004.11,0.83064477
1771722900000,68004.11,68098,68004.11,68098,0.43239018
1771723800000,68098,68133.38,68026.15,68066.45,0.16316199
1771724700000,68066.45,68149.01,68066.45,68115.7,0.21027764
1771725600000,68115.7,68184.5,68103.35,68160.67,0.39426005
1771726500000,68160.67,68160.67,68032.66,68043.3,0.21981879
1771727400000,68043.3,68097.78,67964.02,67964.02,2.17597808
1771728300000,67964.02,68016.7,67865.98,67886.36,0.83685114
1771729200000,67886.36,67999.35,67886.35,67999.35,0.03979313
1771730100000,67999.35,68020.5,67811.57,67945.43,0.68861121
1771731000000,67945.43,67976.98,67883.06,67976.98,1.04438982
1771731900000,67976.98,68020.44,67948.9,68020.44,0.28567673
1771732800000,68020.44,68059.17,68014.16,68039.99,0.57509854
1771733700000,68039.99,68051.48,67960.39,67986.11,0.16680127
1771734600000,67986.11,68024.33,67966.75,67966.75,0.19354161
1771735500000,67966.75,67975.97,67957.8,67958.17,1.41646155
1771736400000,67958.17,67988.77,67870.89,67871.8,0.11223731
1771737300000,67871.8,67941.31,67871.8,67933.13,0.06244311
1771738200000,67933.13,67933.14,67911.44,67919.45,0.15907938
1771739100000,67919.45,67921.08,67876.29,67918.47,0.32540199
1771740000000,67918.47,68026.13,67918.47,68000.59,0.04746979
1771740900000,68000.59,68122.49,68000.59,68094.48,2.45655269
1771741800000,68094.48,68156.01,68052.56,68052.56,0.19305837
1771742700000,68052.56,68069.51,68045.3,68045.3,0.41040213
1771743600000,68045.3,68045.3,67979.23,68029.44,0.34662468
1771744500000,68029.44,68030.11,67996.97,68010.35,0.01516989
1771745400000,68010.35,68081.11,68010.35,68081.11,0.01444141
1771746300000,68081.11,68081.11,68017,68017,0.84705023
1771747200000,68017,68017,67972.51,67994.48,0.18888841
1771748100000,67994.48,67994.48,67903.04,67915.97,0.04501866
1771749000000,67915.97,67975.92,67915.97,67949.79,0.29129144
1771749900000,67949.79,67977,67949.79,67977,0.0161883
1771750800000,67977,68008.18,67957.72,68008.18,0.04678456
1771751700000,68008.18,68039.37,67999.53,68003.99,0.06657899
1771752600000,68003.99,68046,67996.66,68031.36,2.24402466
1771753500000,68031.36,68090.4,68031.36,68045.99,1.32703882
1771754400000,68045.99,68045.99,68002.96,68031.7,0.28393491
1771755300000,68031.7,68102.73,68017.33,68086,1.74983483
1771756200000,68086,68103,68075.39,68087.93,0.1863868
1771757100000,68087.93,68132,68087.93,68132,0.3888697
1771758000000,68132,68244.81,68109,68204,0.62823484
